2026-06-19T10:55:28.279344944Z I0619 10:55:28.279080       1 batcher.go:146] Batch processing duration: 100.2204ms
2026-06-19T10:55:28.279428621Z I0619 10:55:28.279263       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:55:28.279616983Z I0619 10:55:28.279429       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T10:55:28.394887222Z I0619 10:55:28.394739       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:55:28.496703593Z I0619 10:55:28.495832       1 batcher.go:146] Batch processing duration: 101.004587ms
2026-06-19T10:55:28.496728889Z I0619 10:55:28.495898       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:55:28.496731741Z I0619 10:55:28.495914       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T10:55:28.578363669Z I0619 10:55:28.578203       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:55:28.578413534Z I0619 10:55:28.578245       1 node_controller.go:271] Update 3 nodes status took 587.81491ms.
2026-06-19T11:00:28.679686285Z I0619 11:00:28.679184       1 batcher.go:146] Batch processing duration: 100.250163ms
2026-06-19T11:00:28.679716909Z I0619 11:00:28.679269       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T11:00:28.679721793Z I0619 11:00:28.679283       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T11:00:28.762060927Z I0619 11:00:28.761891       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T11:00:28.862775753Z I0619 11:00:28.862591       1 batcher.go:146] Batch processing duration: 100.570093ms
2026-06-19T11:00:28.862802525Z I0619 11:00:28.862653       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T11:00:28.862806835Z I0619 11:00:28.862666       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T11:00:28.979278802Z I0619 11:00:28.979097       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T11:00:29.081465258Z I0619 11:00:29.080301       1 batcher.go:146] Batch processing duration: 101.105148ms
2026-06-19T11:00:29.081536529Z I0619 11:00:29.080369       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T11:00:29.081569993Z I0619 11:00:29.080582       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T11:00:29.182948792Z I0619 11:00:29.182785       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T11:00:29.182976976Z I0619 11:00:29.182824       1 node_controller.go:271] Update 3 nodes status took 604.015232ms.
2026-06-19T11:05:29.284398089Z I0619 11:05:29.284261       1 batcher.go:146] Batch processing duration: 100.259481ms
2026-06-19T11:05:29.284508294Z I0619 11:05:29.284325       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T11:05:29.284514905Z I0619 11:05:29.284339       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T11:05:29.369379330Z I0619 11:05:29.369229       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T11:05:29.469688587Z I0619 11:05:29.469466       1 batcher.go:146] Batch processing duration: 100.046242ms
2026-06-19T11:05:29.469716493Z I0619 11:05:29.469518       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T11:05:29.469739787Z I0619 11:05:29.469530       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T11:05:29.589911552Z I0619 11:05:29.589689       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T11:05:29.690403891Z I0619 11:05:29.690181       1 batcher.go:146] Batch processing duration: 100.385477ms
2026-06-19T11:05:29.690480329Z I0619 11:05:29.690250       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T11:05:29.690484902Z I0619 11:05:29.690264       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T11:05:29.761271952Z I0619 11:05:29.761118       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T11:05:29.761299757Z I0619 11:05:29.761163       1 node_controller.go:271] Update 3 nodes status took 577.284242ms.
2026-06-19T11:10:29.862201475Z I0619 11:10:29.861970       1 batcher.go:146] Batch processing duration: 100.41843ms
2026-06-19T11:10:29.862237408Z I0619 11:10:29.862074       1 batcher.go:187] Batch size for label describe_instance is 1
